country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Canada,Ontario,2022-06-21,1,10,104,-33,-25
Canada,Ontario,2022-06-21,25,26,,-29,-6
Canada,Ontario,2022-06-21,33,,,,-14
Canada,Ontario,2022-06-21,7,26,,,-12
Canada,Ontario,2022-06-21,65,45,,,25
Canada,Ontario,2022-06-21,11,18,,26,-3
Canada,Ontario,2022-06-21,8,39,,-47,-16
Canada,Ontario,2022-06-21,22,13,,,-12
Canada,Ontario,2022-06-21,26,21,,28,-6
Canada,Ontario,2022-06-21,2,16,141,-29,-17
Canada,Ontario,2022-06-21,4,3,79,-27,-19
Canada,Ontario,2022-06-21,8,14,,-42,-2
Canada,Ontario,2022-06-21,37,25,102,,-3
Canada,Ontario,2022-06-21,45,7,,,-10
Canada,Ontario,2022-06-21,,,,,-1
Canada,Ontario,2022-06-21,4,14,55,-35,-18
Canada,Ontario,2022-06-21,17,33,,36,2
Canada,Ontario,2022-06-21,32,23,,,3
Canada,Ontario,2022-06-21,23,32,,,-6
Canada,Ontario,2022-06-21,51,34,,,-16
Canada,Ontario,2022-06-21,19,16,,-45,-1
Canada,Ontario,2022-06-21,27,21,,,-15
Canada,Ontario,2022-06-21,20,23,,52,-11
Canada,Ontario,2022-06-21,,43,,28,-9
Canada,Ontario,2022-06-21,,,,,-22
Canada,Ontario,2022-06-21,1,9,141,-44,-17
Canada,Ontario,2022-06-21,23,46,,,-1
Canada,Ontario,2022-06-21,26,9,,-28,-4
Canada,Ontario,2022-06-21,42,16,,,-1
Canada,Ontario,2022-06-21,34,35,,30,-2
Canada,Ontario,2022-06-21,-13,-1,-18,-50,-41
Canada,Ontario,2022-06-21,11,34,,-1,-19
Canada,Ontario,2022-06-21,78,48,,,8
Canada,Ontario,2022-06-21,21,16,,,0
Canada,Ontario,2022-06-21,14,19,,-20,-14
Canada,Ontario,2022-06-21,28,18,,,-18
Canada,Ontario,2022-06-21,,,,,-14
Canada,Ontario,2022-06-21,,,,,-18
Canada,Ontario,2022-06-21,8,8,57,-49,-27
Canada,Ontario,2022-06-21,-3,10,149,-37,-33
Canada,Ontario,2022-06-21,21,21,90,-48,-16
Canada,Ontario,2022-06-21,-3,5,78,-22,-30
Canada,Ontario,2022-06-21,4,11,185,-33,-32
Canada,Ontario,2022-06-21,23,29,,,-6
Canada,Ontario,2022-06-21,19,20,256,-25,-8
Canada,Ontario,2022-06-21,,,,,1
Canada,Ontario,2022-06-21,10,18,,-27,-18
Canada,Ontario,2022-06-21,29,31,,,-5
Canada,Ontario,2022-06-21,-9,1,80,-34,-36
Canada,Ontario,2022-06-21,4,11,4,-27,-17
Canada,Ontario,2022-06-21,-3,2,115,-18,-25
